CGPA,Branch,Role,Duration,Offer type,Gender,Company,Industry,Stpd,CTC,Details,No. of students placed,Additional Info
8.85,ECE,SDE,PPO,PPO,M,Expedia,Data Analytics,,31,,,
9.21,EE,SDE,PPO,PPO,M,Expedia,Data Analytics,,31,,,
7.4,CO,Data Science,FTE,Full-time,M,Fractal,Consulting,,31,"3 yr CTC: 31 L

Year 1: 7.5L + 2L joining

Year 2: 8.25L

Year 3: 9.25L + 4L retention",10,"Year 1: 2L joining bonus (18 month claw-back)

Year 3: 4L retention bonus (2 yr claw-back)"
7.16,CO,Data Science,FTE,Full-time,M,Fractal,Consulting,,31,,,
8.06,ECE,Data Science,FTE,Full-time,M,Fractal,Consulting,,31,,,
7.86,ECE,Data Science,FTE,Full-time,M,Fractal,Consulting,,31,,,
6.87,EE,Data Science,FTE,Full-time,M,Fractal,Consulting,,31,,,
7.89,EE,Data Science,FTE,Full-time,M,Fractal,Consulting,,31,,,
8.3,ME,Data Science,FTE,Full-time,M,Fractal,Consulting,,31,,,
7.91,EP,Data Science,FTE,Full-time,M,Fractal,Consulting,,31,,,
8.01,EN,Data Science,FTE,Full-time,M,Fractal,Consulting,,31,,,
8.12,BT,Data Science,FTE,Full-time,M,Fractal,Consulting,,31,,,
8.07,CO,SDE,PPO,PPO,M,Goldman Sachs,Financial Services,162.5,30,30 lpa,2,
8.54,MCE,SDE,PPO,PPO,M,Goldman Sachs,Financial Services,,30,,,
8.29,CO,SDE,PPO,PPO,M,Sprinklr,SaaS,,30,30 lpa,1,
9.43,CO,SDE,PPO,PPO,M,"Samsung R&D India - Bangalore
(SRIB)",Consumer Electronics,,30,20/40 lpa,4,
8.69,CO,SDE,PPO,PPO,M,"Samsung R&D India - Bangalore
(SRIB)",Consumer Electronics,,30,,,
8.89,SE,SDE,PPO,PPO,M,"Samsung R&D India - Bangalore
(SRIB)",Consumer Electronics,,30,,,
9.26,SE,SDE,PPO,PPO,M,"Samsung R&D India - Bangalore
(SRIB)",Consumer Electronics,,30,,,
9.89,CO,SDE,PPO,PPO,F,Morgan Stanley,Financial Services,,29,29 lpa,4,
9.18,CO,SDE,PPO,PPO,M,Morgan Stanley,Financial Services,,29,,,
7.76,CO,SDE,PPO,PPO,M,Morgan Stanley,Financial Services,,29,,,
8.41,CO,SDE,PPO,PPO,M,Morgan Stanley,Financial Services,,29,,,
8.35,ECE,Embedded,6M + PPO,PPO,M,Nvidia,Semiconductors,80,28.99,"80K pm
28.99 lpa",2,Hardware Role
8.66,ECE,Embedded,6M + PPO,PPO,M,Nvidia,Semiconductors,80,28.99,,,
9,CO,Markets,6M + PPO,PPO,F,Nvidia,Semiconductors,150,28,"1.5L pm + 1L relocation
 28 lpa",2,CCAR & Sales
6.98,MCE,Markets,6M + PPO,PPO,F,Nvidia,Semiconductors,150,28,,,
8.33,CO,Markets,6M + PPO,PPO,F,Nvidia,Semiconductors,175,28,"1.75l pm + 1L relocation
 28 lpa",3,(Quant) Trading & Structuring
9.3,IT,Markets,6M + PPO,PPO,M,Nvidia,Semiconductors,175,28,,,
8.69,EE,Markets,6M + PPO,PPO,M,Nvidia,Semiconductors,175,28,,,
9.07,CO,SDE,6M + PPO,PPO,M,Myntra,E-commerce,60,28,"60K pm
28 lpa",8,
9.1,CO,SDE,6M + PPO,PPO,M,Myntra,E-commerce,60,28,,,
8.63,CO,SDE,6M + PPO,PPO,M,Myntra,E-commerce,60,28,,,
8.69,CO,SDE,6M + PPO,PPO,M,Myntra,E-commerce,60,28,,,
No data,CO,SDE,6M + PPO,PPO,M,Myntra,E-commerce,60,28,,,
9.18,CO,SDE,6M + PPO,PPO,M,Myntra,E-commerce,60,28,,,
8.8,CO,SDE,6M + PPO,PPO,M,Myntra,E-commerce,60,28,,,
9.05,IT,SDE,6M + PPO,PPO,M,Myntra,E-commerce,60,28,,,
9.4,CO,SDE,PPO,PPO,M,WinZo Games,Gaming,,27,27 lpa,1,
8.62,CO,SDE,FTE,Full-time,M,Urban Company,Home Services,,27,27 lpa,6,
8.55,CO,SDE,FTE,Full-time,F,Urban Company,Home Services,,27,,,
9.06,CO,SDE,FTE,Full-time,M,Urban Company,Home Services,,27,,,
9.03,IT,SDE,FTE,Full-time,M,Urban Company,Home Services,,27,,,
9.33,IT,SDE,FTE,Full-time,F,Urban Company,Home Services,,27,,,
9.07,SE,SDE,FTE,Full-time,F,Urban Company,Home Services,,27,,,
8.6,CO,SDE,6M + PPO,PPO,M,ArmorCode,Cybersecurity,45,25.5,"30K stipend + 10K relocation + 5K food
25.5 lpa",3,Relocation & Food allowance only if student is NOT from Gurgaon
9.3,SE,SDE,6M + PPO,PPO,M,ArmorCode,Cybersecurity,45,25.5,,,
8.19,ECE,SDE,6M + PPO,PPO,M,ArmorCode,Cybersecurity,45,25.5,,,
