CGPA,Branch,Role,Duration,Offer type,Gender,Company,Industry,Stpd,CTC,Details,No. of students placed,Additional Info
8.19,IT,SDE,FTE,Full-time,M,BT Group,Healthcare,,17,,,
8.69,CO,Analyst,PPO,PPO,M,Moody's,Pharmaceuticals,,16.5,16.5 lpa,1,
8.37,CO,SDE,FTE,Full-time,M,ICICI Bank,Healthcare,,16.5,16.5 lpa,7,
7.74,CO,SDE,FTE,Full-time,M,ICICI Bank,Healthcare,,16.5,,,
8.35,IT,SDE,FTE,Full-time,M,ICICI Bank,Healthcare,,16.5,,,
6.62,IT,SDE,FTE,Full-time,M,ICICI Bank,Healthcare,,16.5,,,
8.08,SE,SDE,FTE,Full-time,M,ICICI Bank,Healthcare,,16.5,,,
7.92,SE,SDE,FTE,Full-time,M,ICICI Bank,Healthcare,,16.5,,,
7.26,EE,SDE,FTE,Full-time,M,ICICI Bank,Healthcare,,16.5,,,
8,SE,Data Science,FTE,Full-time,M,ProcDNA,Pharmaceuticals,,16.1,16.1 lpa,1,Data Science Associate
No data,EP,Analyst,FTE,Full-time,M,ProcDNA,Pharmaceuticals,,16.1,,3,Business Analyst
8.14,CE,Analyst,FTE,Full-time,M,ProcDNA,Pharmaceuticals,,16.1,,,
6.75,PE,Analyst,FTE,Full-time,M,ProcDNA,Pharmaceuticals,,16.1,,,
